date,totalCases,newCases,deaths,newDeaths
11/03/2020,2,2,0,0
12/03/2020,5,3,0,0
13/03/2020,9,4,0,0
14/03/2020,10,1,0,0
16/03/2020,13,3,0,0
17/03/2020,16,3,0,0
18/03/2020,32,16,0,0
19/03/2020,48,16,0,0
20/03/2020,59,11,0,0
21/03/2020,61,2,0,0
22/03/2020,72,11,0,0
23/03/2020,87,15,0,0
24/03/2020,98,11,0,0
25/03/2020,115,17,0,0
26/03/2020,127,12,0,0
27/03/2020,146,19,0,0
28/03/2020,153,7,0,0
29/03/2020,161,8,0,0
30/03/2020,175,14,0,0
31/03/2020,199,24,0,0
01/04/2020,214,15,0,0
02/04/2020,241,27,1,1
03/04/2020,286,45,1,0
04/04/2020,311,25,1,0
05/04/2020,319,8,1,0
06/04/2020,348,29,6,5
07/04/2020,374,26,10,4
08/04/2020,417,43,10,0
09/04/2020,446,29,10,0
10/04/2020,478,32,10,0
11/04/2020,502,24,10,0
12/04/2020,505,3,10,0
13/04/2020,524,19,11,1
14/04/2020,542,18,13,2
15/04/2020,574,32,13,0
16/04/2020,583,9,13,0
17/04/2020,611,28,13,0
18/04/2020,637,26,14,1
19/04/2020,645,8,15,1
20/04/2020,668,23,19,4
21/04/2020,678,10,20,1
22/04/2020,706,28,20,0
23/04/2020,729,23,20,0
24/04/2020,756,27,21,1
25/04/2020,766,10,23,2
26/04/2020,784,18,23,0
27/04/2020,808,24,25,2
28/04/2020,838,30,27,2
29/04/2020,870,32,32,5
30/04/2020,906,36,32,0
01/05/2020,933,27,32,0
02/05/2020,942,9,33,1
03/05/2020,946,4,35,2
04/05/2020,964,18,35,0
05/05/2020,982,18,35,0
06/05/2020,1008,26,37,2
07/05/2020,1032,24,37,0
08/05/2020,1057,25,37,0
09/05/2020,1073,16,38,1
10/05/2020,1079,6,38,0
11/05/2020,1111,32,38,0
12/05/2020,1143,32,40,2
13/05/2020,1181,38,40,0
14/05/2020,1227,46,41,1
15/05/2020,1267,40,42,1
16/05/2020,1290,23,42,0
17/05/2020,1299,9,43,1
18/05/2020,1326,27,44,1
19/05/2020,1378,52,44,0
20/05/2020,1445,67,44,0
21/05/2020,1481,36,46,2
22/05/2020,1526,45,46,0
23/05/2020,1579,53,46,0
24/05/2020,1599,20,49,3
25/05/2020,1650,51,50,1
26/05/2020,1690,40,51,1
27/05/2020,1776,86,55,4
28/05/2020,1821,45,57,2
29/05/2020,1868,47,58,1
30/05/2020,1939,71,60,2
31/05/2020,1953,14,62,2
01/06/2020,2009,56,63,1
02/06/2020,2107,98,64,1
03/06/2020,2187,80,65,1
04/06/2020,2305,118,67,2
05/06/2020,2393,88,73,6
06/06/2020,2445,52,74,1
07/06/2020,2471,26,75,1
08/06/2020,2538,67,82,7
09/06/2020,2612,74,87,5
10/06/2020,2767,155,91,4
11/06/2020,2791,24,97,6
12/06/2020,2956,165,100,3
13/06/2020,3046,90,105,5
14/06/2020,3099,53,106,1
15/06/2020,3236,137,108,2
16/06/2020,3380,144,111,3
17/06/2020,3553,173,117,6
18/06/2020,3794,241,120,3
19/06/2020,4002,208,123,3
20/06/2020,4135,133,132,9
21/06/2020,4366,231,136,4
22/06/2020,4510,144,140,4
23/06/2020,4786,276,145,5
24/06/2020,4995,209,150,5
25/06/2020,5170,175,153,3
26/06/2020,5323,153,157,4
27/06/2020,5421,98,163,6
28/06/2020,5507,86,170,7
29/06/2020,5583,76,175,5
30/06/2020,5987,404,178,3
01/07/2020,6332,345,182,4
02/07/2020,6766,434,197,15
03/07/2020,7177,411,202,5
04/07/2020,7296,119,212,10
05/07/2020,7644,348,219,7
06/07/2020,8339,695,225,6
07/07/2020,8595,256,236,11
08/07/2020,9235,640,236,0
09/07/2020,9653,418,246,10
10/07/2020,10107,454,253,7
11/07/2020,10474,367,262,9
12/07/2020,10658,184,273,11
13/07/2020,11249,591,287,14
14/07/2020,11482,233,307,20
15/07/2020,12199,717,319,12
16/07/2020,12967,768,330,11
17/07/2020,13432,465,343,13
18/07/2020,13900,468,356,13
19/07/2020,14207,307,370,14
20/07/2020,14744,537,389,19
21/07/2020,15211,467,407,18
22/07/2020,15873,662,424,17
23/07/2020,16513,640,442,18
24/07/2020,17233,720,464,22
25/07/2020,17597,364,480,16
26/07/2020,17842,245,485,5
27/07/2020,18137,295,500,15
28/07/2020,18529,392,511,11
29/07/2020,18940,411,524,13
30/07/2020,19436,496,544,20
31/07/2020,20135,699,568,24
01/08/2020,20754,619,583,15
02/08/2020,21172,418,599,16
03/08/2020,21759,587,618,19
04/08/2020,22379,620,640,22
05/08/2020,23112,733,667,27
06/08/2020,23588,476,680,13
07/08/2020,24030,442,695,15
08/08/2020,24435,405,711,16
09/08/2020,24789,354,728,17
10/08/2020,25262,473,744,16
11/08/2020,25673,411,757,13
12/08/2020,26159,486,771,14
13/08/2020,26672,513,786,15
14/08/2020,27162,490,797,11
15/08/2020,27604,442,812,15
16/08/2020,28019,415,825,13
17/08/2020,28466,447,838,13
18/08/2020,28914,448,855,17
19/08/2020,29354,440,874,19
20/08/2020,29781,427,893,19
21/08/2020,30078,297,911,18
22/08/2020,30348,270,926,15
23/08/2020,30726,378,936,10
24/08/2020,31034,308,945,9
25/08/2020,31346,312,952,7
26/08/2020,31799,453,963,11
27/08/2020,32255,456,975,12
28/08/2020,32726,471,985,10
29/08/2020,33102,376,996,11
30/08/2020,33429,327,1007,11
31/08/2020,33781,352,1017,10
01/09/2020,34177,396,1030,13
02/09/2020,34620,443,1041,11
03/09/2020,35126,506,1059,18
04/09/2020,35621,495,1071,12
05/09/2020,36141,520,1082,11
06/09/2020,36595,454,1088,6
07/09/2020,37025,430,1095,7
08/09/2020,37217,192,1102,7
09/09/2020,37501,284,1112,10
10/09/2020,37865,364,1120,8
11/09/2020,38229,364,1129,9
12/09/2020,38699,470,1138,9
13/09/2020,39145,446,1148,10
14/09/2020,39619,474,1157,9
15/09/2020,40078,459,1169,12
16/09/2020,40440,362,1176,7
17/09/2020,40845,405,1189,13
18/09/2020,41165,320,1198,9
19/09/2020,41529,364,1205,7
20/09/2020,41849,320,1211,6
21/09/2020,42178,329,1224,13
22/09/2020,42526,348,1233,9
23/09/2020,42870,344,1246,13
24/09/2020,43288,418,1255,9
25/09/2020,43614,326,1266,11
26/09/2020,43952,338,1275,9
27/09/2020,43952,0,1275,0
28/09/2020,44304,352,1286,11
29/09/2020,44635,331,1300,14
30/09/2020,44882,247,1311,11
01/10/2020,45264,382,1319,8
02/10/2020,45613,349,1330,11
03/10/2020,45916,303,1335,5
04/10/2020,45916,0,1335,0
05/10/2020,46206,290,1346,11
06/10/2020,46514,308,1355,9
07/10/2020,46864,350,1361,6
08/10/2020,47235,371,1366,5
09/10/2020,47584,349,1375,9
10/10/2020,47975,391,1382,7
11/10/2020,48320,345,1399,17
12/10/2020,48320,0,1399,0
13/10/2020,48580,260,1405,6
14/10/2020,48743,163,1411,6
15/10/2020,49021,278,1417,6
16/10/2020,49296,275,1421,4
17/10/2020,49647,351,1428,7
18/10/2020,49647,0,1428,0
19/10/2020,49979,332,1437,9
20/10/2020,50256,277,1441,4
21/10/2020,50498,242,1443,2
22/10/2020,50864,366,1450,7
23/10/2020,51192,328,1457,7
24/10/2020,51553,361,1464,7
25/10/2020,51816,263,1474,10
26/10/2020,51816,0,1474,0
27/10/2020,52199,383,1478,4
28/10/2020,52551,352,1484,6
29/10/2020,52919,368,1492,8
30/10/2020,53305,386,1495,3
31/10/2020,53698,393,1500,5
01/11/2020,53698,0,1500,0
02/11/2020,53698,0,1500,0
03/11/2020,54594,896,1510,10
04/11/2020,54925,331,1516,6
05/11/2020,55332,407,1524,8
06/11/2020,55768,436,1532,8
07/11/2020,56241,473,1541,9
08/11/2020,56241,0,1541,0
09/11/2020,56777,536,1548,7
10/11/2020,57254,477,1553,5
11/11/2020,57990,736,1558,5
12/11/2020,58693,703,1568,10
13/11/2020,59442,749,1573,5
14/11/2020,60157,715,1579,6
15/11/2020,60157,0,1579,0
16/11/2020,61665,1508,1589,10
17/11/2020,62544,879,1602,13
18/11/2020,63458,914,1613,11
19/11/2020,64839,1381,1622,9
20/11/2020,66248,1409,1633,11
21/11/2020,67628,1380,1641,8
22/11/2020,68612,984,1648,7
23/11/2020,69951,1339,1658,10
24/11/2020,71052,1101,1669,11
25/11/2020,72649,1597,1680,11
26/11/2020,74253,1604,1698,18
27/11/2020,75824,1571,1714,16
28/11/2020,77345,1521,1731,17
29/11/2020,78315,970,1749,18
30/11/2020,79569,1254,1765,16
01/12/2020,80871,1302,1778,13
02/12/2020,82076,1205,1795,17
03/12/2020,83456,1380,1808,13
04/12/2020,85209,1753,1827,19
05/12/2020,86722,1513,1843,16
06/12/2020,87859,1137,1860,17
07/12/2020,89302,1443,1871,11
08/12/2020,90416,1114,1882,11
09/12/2020,91847,1431,1902,20
10/12/2020,93339,1492,1923,21
11/12/2020,94760,1421,1944,21
12/12/2020,96116,1356,1963,19
13/12/2020,97029,913,1977,14
14/12/2020,97893,864,1991,14
15/12/2020,98802,909,2005,14
16/12/2020,100279,1477,2026,21
17/12/2020,101291,1012,2049,23
18/12/2020,102279,988,2068,19
19/12/2020,103118,839,2081,13
20/12/2020,103888,770,2095,14
21/12/2020,104734,846,2111,16
22/12/2020,105555,821,2132,21
23/12/2020,106304,749,2149,17
24/12/2020,106304,0,2149,0
25/12/2020,106304,0,2149,0
26/12/2020,108326,2022,2176,27
27/12/2020,108326,0,2176,0
28/12/2020,109116,790,2199,23
29/12/2020,109888,772,2220,21
30/12/2020,110705,817,2243,23
31/12/2020,110705,0,2243,0
01/01/2021,110705,0,2243,0
02/01/2021,112502,1797,2269,26
03/01/2021,112502,0,2269,0
04/01/2021,113228,726,2292,23
05/01/2021,113972,744,2307,15
06/01/2021,114765,793,2324,17
07/01/2021,115569,804,2343,19
08/01/2021,116355,786,2360,17
09/01/2021,116999,644,2376,16
10/01/2021,116999,0,2376,0
11/01/2021,118110,1111,2397,21
12/01/2021,118853,743,2409,12
13/01/2021,119655,802,2424,15
14/01/2021,120531,876,2443,19
15/01/2021,121338,807,2459,16
16/01/2021,122177,839,2478,19
17/01/2021,122177,0,2478,0
18/01/2021,122963,786,2499,21
19/01/2021,123807,844,2519,20
20/01/2021,124510,703,2538,19
21/01/2021,125006,496,2550,12
22/01/2021,125412,406,2557,7
23/01/2021,125853,441,2569,12
24/01/2021,125853,0,2569,0
25/01/2021,126444,591,2583,14
26/01/2021,126899,455,2594,11
27/01/2021,127302,403,2605,11
28/01/2021,127749,447,2612,7
29/01/2021,128227,478,2623,11
30/01/2021,128718,491,2631,8
31/01/2021,128718,0,2631,0
01/02/2021,129523,805,2649,18
02/02/2021,129962,439,2657,8
03/02/2021,130439,477,2666,9
04/02/2021,130924,485,2677,11
05/02/2021,131341,417,2687,10
06/02/2021,131720,379,2696,9
07/02/2021,131720,0,2696,0
08/02/2021,132168,448,2708,12
09/02/2021,132514,346,2719,11
10/02/2021,132866,352,2729,10
11/02/2021,133271,405,2743,14
12/02/2021,133688,417,2754,11
13/02/2021,134126,438,2764,10
14/02/2021,134126,0,2764,0
15/02/2021,134735,609,2783,19
16/02/2021,135086,351,2795,12
17/02/2021,135460,374,2804,9
18/02/2021,135897,437,2816,12
19/02/2021,136307,410,2827,11
20/02/2021,136839,532,2840,13
21/02/2021,136839,0,2840,0
22/02/2021,137997,1158,2861,21
23/02/2021,138831,834,2872,11
24/02/2021,139534,703,2887,15
25/02/2021,140150,616,2907,20
26/02/2021,141069,919,2925,18
27/02/2021,141898,829,2943,18
28/02/2021,141898,0,2943,0
01/03/2021,143595,1697,2964,21
02/03/2021,144472,877,2981,17
03/03/2021,145364,892,3000,19
04/03/2021,146337,973,3020,20
05/03/2021,147319,982,3040,20
06/03/2021,148154,835,3062,22
07/03/2021,148154,0,3062,0
08/03/2021,150268,2114,3094,32
09/03/2021,151373,1105,3114,20
10/03/2021,152647,1274,3136,22
11/03/2021,154002,1355,3162,26
12/03/2021,155527,1525,3196,34
13/03/2021,156789,1262,3227,31
14/03/2021,156789,0,3227,0
15/03/2021,159546,2757,3284,57
16/03/2021,160759,1213,3325,41
17/03/2021,161862,1103,3357,32
18/03/2021,162776,914,3401,44
19/03/2021,163679,903,3442,41
20/03/2021,164484,805,3485,43
21/03/2021,165308,824,3523,38
22/03/2021,166301,993,3556,33
23/03/2021,167123,822,3601,45
24/03/2021,168201,1078,3640,39
25/03/2021,169336,1135,3672,32
26/03/2021,170273,937,3711,39
27/03/2021,171194,921,3741,30
28/03/2021,172018,824,3770,29
29/03/2021,172903,885,3800,30
30/03/2021,173811,908,3847,47
31/03/2021,174604,793,3886,39
01/04/2021,175402,798,3920,34
02/04/2021,176182,780,3956,36
03/04/2021,176884,702,3989,33
04/04/2021,176884,0,3989,0
05/04/2021,178136,1252,4038,49
06/04/2021,178831,695,4068,30
07/04/2021,179464,633,4100,32
08/04/2021,180122,658,4133,33
09/04/2021,180758,636,4165,32
10/04/2021,181381,623,4196,31
11/04/2021,182035,654,4224,28
12/04/2021,182673,638,4258,34
13/04/2021,183319,646,4297,39
14/04/2021,183899,580,4330,33
15/04/2021,184474,575,4361,31
16/04/2021,184969,495,4391,30
17/04/2021,185446,477,4417,26
18/04/2021,185910,464,4438,21
19/04/2021,186376,466,4457,19
20/04/2021,186869,493,4479,22
21/04/2021,187342,473,4500,21
22/04/2021,187906,564,4529,29
23/04/2021,188395,489,4552,23
24/04/2021,188965,570,4581,29
25/04/2021,189466,501,4601,20
26/04/2021,190027,561,4620,19
27/04/2021,190600,573,4643,23
28/04/2021,191152,552,4665,22
29/04/2021,191679,527,4689,24
30/04/2021,192274,595,4712,23
01/05/2021,192857,583,4737,25
02/05/2021,193361,504,4752,15
03/05/2021,193898,537,4772,20
04/05/2021,194486,588,4794,22
05/05/2021,195062,576,4827,33
06/05/2021,195764,702,4849,22
07/05/2021,196480,716,4875,26
08/05/2021,197201,721,4903,28
09/05/2021,197844,643,4922,19
10/05/2021,198539,695,4943,21
11/05/2021,199236,697,4965,22
12/05/2021,199919,683,4988,23
13/05/2021,200604,685,5012,24
14/05/2021,201292,688,5035,23
15/05/2021,201982,690,5053,18
16/05/2021,202759,777,5073,20
17/05/2021,203515,756,5095,22
18/05/2021,204309,794,5122,27
19/05/2021,205108,799,5148,26
20/05/2021,205985,877,5175,27
21/05/2021,206866,881,5203,28
22/05/2021,207761,895,5228,25
23/05/2021,208590,829,5248,20
24/05/2021,209488,898,5269,21
25/05/2021,210396,908,5295,26
26/05/2021,211379,983,5318,23
27/05/2021,212366,987,5343,25
28/05/2021,213402,1036,5374,31
29/05/2021,214479,1077,5400,26
30/05/2021,215353,874,5419,19
31/05/2021,216188,835,5444,25
01/06/2021,217070,882,5472,28
02/06/2021,217960,890,5495,23
03/06/2021,218844,884,5524,29
04/06/2021,219664,820,5555,31
05/06/2021,220476,812,5579,24
06/06/2021,221286,810,5604,25
07/06/2021,222164,878,5631,27
08/06/2021,223000,836,5651,20
09/06/2021,223919,919,5676,25
10/06/2021,224817,898,5706,30
11/06/2021,225684,867,5732,26
12/06/2021,226543,859,5754,22
13/06/2021,227394,851,5774,20
14/06/2021,228263,869,5793,19
15/06/2021,229144,881,5817,24
16/06/2021,230011,867,5837,20
17/06/2021,230852,841,5863,26
18/06/2021,231684,832,5891,28
19/06/2021,232512,828,5918,27
20/06/2021,233324,812,5945,27
21/06/2021,234130,806,5974,29
22/06/2021,234934,804,6004,30
23/06/2021,235737,803,6025,21
24/06/2021,236538,801,6047,22
25/06/2021,237347,809,6047,0
26/06/2021,238154,807,6071,24
27/06/2021,238933,779,6089,18
28/06/2021,239724,791,6112,23
29/06/2021,240499,775,6134,22
30/06/2021,240499,0,6156,22
01/07/2021,241280,781,6177,21
02/07/2021,242048,768,6198,21
03/07/2021,242822,774,6219,21
04/07/2021,242822,731,6235,16
05/07/2021,244298,745,6252,17
06/07/2021,245062,764,6274,22
07/07/2021,245821,759,6296,22
08/07/2021,246572,751,6317,21
09/07/2021,247341,769,6337,20
10/07/2021,248101,760,6356,19
11/07/2021,248830,729,6372,16
12/07/2021,249573,743,6389,17
13/07/2021,250313,740,6410,21
14/07/2021,251045,732,6429,19
15/07/2021,251771,726,6448,19
16/07/2021,252488,717,6463,15
17/07/2021,253164,676,6478,15
18/07/2021,253804,640,6489,11
19/07/2021,254393,589,6499,10
20/07/2021,254907,514,6513,14
21/07/2021,255417,510,6529,16
22/07/2021,255920,503,6544,15
23/07/2021,256430,510,6560,16
24/07/2021,256921,491,6576,16
25/07/2021,257366,445,6592,16
26/07/2021,257782,416,6609,17
27/07/2021,258222,440,6628,19
28/07/2021,258679,457,6642,14
29/07/2021,259100,421,6657,15
30/07/2021,259518,418,6672,15
31/07/2021,259928,410,6687,15
01/08/2021,260330,402,6697,10
02/08/2021,260739,409,6707,10
03/08/2021,261216,477,6724,17
04/08/2021,261697,481,6740,16
05/08/2021,262194,497,6752,12
06/08/2021,262711,517,6765,13
07/08/2021,263242,531,6778,13
08/08/2021,263766,524,6792,14
09/08/2021,264331,565,6809,17
10/08/2021,264929,598,6825,16
11/08/2021,265585,656,6841,16
12/08/2021,266253,668,6858,17
13/08/2021,266936,683,6873,15
14/08/2021,267573,637,6885,12
15/08/2021,268242,669,6899,14
16/08/2021,268915,673,6918,19
17/08/2021,269576,661,6938,20
18/08/2021,270230,654,6957,19
19/08/2021,270862,632,6977,20
20/08/2021,271566,704,6991,14
21/08/2021,272257,691,7005,14
22/08/2021,273024,767,7015,10
23/08/2021,273795,771,7028,13
24/08/2021,274591,796,7041,13
25/08/2021,275350,759,7057,16
26/08/2021,276115,765,7074,17
27/08/2021,276903,788,7092,18
28/08/2021,277688,785,7108,16
29/08/2021,278484,796,7123,15
30/08/2021,279450,966,7142,19
31/08/2021,280017,567,7157,15
01/09/2021,280750,733,7176,19
02/09/2021,281490,740,7195,19
03/09/2021,282205,715,7209,14
04/09/2021,282916,711,7225,16
05/09/2021,283619,703,7238,13
06/09/2021,284293,674,7252,14
07/09/2021,284904,611,7263,11
08/09/2021,285507,603,7273,10
09/09/2021,286031,524,7282,9
10/09/2021,286506,475,7295,13
11/09/2021,286945,439,7309,14
12/09/2021,287377,432,7319,10
13/09/2021,287786,409,7333,14
14/09/2021,288131,345,7349,16
15/09/2021,288464,333,7366,17
16/09/2021,288816,352,7384,18
17/09/2021,289151,335,7402,18
18/09/2021,289464,313,7418,16
19/09/2021,289772,308,7429,11
20/09/2021,290083,311,7439,10
21/09/2021,290400,317,7450,11
22/09/2021,290704,304,7465,15
23/09/2021,291016,312,7481,16
24/09/2021,291317,301,7497,16
25/09/2021,291622,305,7510,13
26/09/2021,291918,296,7525,15
27/09/2021,292143,225,7533,8
28/09/2021,292352,209,7540,7
29/09/2021,292538,186,7550,10
30/09/2021,292716,178,7561,11
01/10/2021,292901,185,7569,8
02/10/2021,293072,171,7576,7
03/10/2021,293226,154,7583,7
04/10/2021,293374,148,7590,7
05/10/2021,293545,171,7600,10
06/10/2021,293728,183,7608,8
07/10/2021,293917,189,7617,9
08/10/2021,294095,178,7624,7
09/10/2021,294268,173,7632,8
10/10/2021,294413,145,7638,6
11/10/2021,294566,153,7644,6
12/10/2021,294706,140,7649,5
13/10/2021,294840,134,7657,8
14/10/2021,294968,128,7665,8
15/10/2021,295076,108,7670,5
16/10/2021,295178,102,7675,5
17/10/2021,295276,98,7680,5
18/10/2021,295372,96,7685,5
19/10/2021,295466,94,7692,7
20/10/2021,295557,91,7698,6
21/10/2021,295653,96,7702,4
22/10/2021,295745,92,7706,4
23/10/2021,295834,89,7712,6
24/10/2021,295920,86,7718,6
25/10/2021,296011,91,7722,4
26/10/2021,296103,92,7726,4
27/10/2021,296198,95,7729,3
28/10/2021,296294,96,7732,3
29/10/2021,296384,90,7735,3
30/10/2021,296472,88,7738,3
31/10/2021,296558,86,7741,3
01/11/2021,296653,95,7744,3
02/11/2021,296746,93,7747,3
03/11/2021,296840,94,7750,3
04/11/2021,296929,89,7752,2
05/11/2021,297014,85,7754,2
06/11/2021,297096,82,7756,2
07/11/2021,297171,75,7759,3
08/11/2021,297258,87,7761,2
09/11/2021,297341,83,7763,2
10/11/2021,297419,78,7766,3
11/11/2021,297495,76,7769,3
12/11/2021,297570,75,7770,1
13/11/2021,297622,52,7770,0
14/11/2021,297665,43,7773,3
15/11/2021,297719,54,7774,1
16/11/2021,297795,76,7775,1
17/11/2021,297864,69,7776,1
18/11/2021,297930,66,7779,3
19/11/2021,297982,52,7783,4
20/11/2021,298024,42,7784,1
21/11/2021,298058,34,7785,1
22/11/2021,298109,51,7786,1
23/11/2021,298156,47,7789,3
24/11/2021,298214,58,7791,2
25/11/2021,298267,53,7792,1
26/11/2021,298321,54,7793,1
27/11/2021,298360,39,7795,2
28/11/2021,298395,35,7796,1
29/11/2021,298447,52,7797,1
30/11/2021,298501,54,7798,1
01/12/2021,298550,49,7798,0
02/12/2021,298593,43,7798,0
03/12/2021,298634,41,7801,3
04/12/2021,298663,29,7801,0
05/12/2021,298691,28,7801,0
06/12/2021,298730,39,7802,1
07/12/2021,298774,44,7803,1
08/12/2021,298811,37,7804,1
09/12/2021,298850,39,7804,0
10/12/2021,298890,40,7806,2
11/12/2021,298922,32,7807,1
12/12/2021,298956,34,7807,0
13/12/2021,299002,46,7808,1
14/12/2021,299044,42,7808,0
15/12/2021,299078,34,7810,2
16/12/2021,299111,33,7810,0
17/12/2021,299143,32,7810,0
18/12/2021,299178,35,7811,1
19/12/2021,299207,29,7812,1
20/12/2021,299241,34,7813,1
21/12/2021,299280,39,7813,0
22/12/2021,299317,37,7813,0
23/12/2021,299351,34,7813,0
24/12/2021,299417,66,7814,1
25/12/2021,299458,41,7814,0
26/12/2021,299510,52,7816,2
27/12/2021,299616,106,7817,1
28/12/2021,299777,161,7818,1
29/12/2021,299941,164,7818,0
30/12/2021,300125,184,7818,0
31/12/2021,300323,198,7818,0
01/01/2022,300461,138,7818,0
02/01/2022,300617,156,7818,0
03/01/2022,300810,193,7818,0
04/01/2022,301024,214,7818,0
05/01/2022,301547,523,7818,0
06/01/2022,302892,1345,7819,1
07/01/2022,304384,1492,7819,0
08/01/2022,305518,1134,7820,1
09/01/2022,306616,1098,7821,1
10/01/2022,308084,1468,7822,1
