Data,Total1dose,Total2dose
20/01/2021,806,
21/01/2021,2032,
22/01/2021,3055,
23/01/2021,3055,
24/01/2021,3055,
25/01/2021,4594,
26/01/2021,7558,
27/01/2021,11199,
28/01/2021,15845,
29/01/2021,21699,
30/01/2021,25361,
31/01/2021,25983,
01/02/2021,28633,
02/02/2021,32517,
03/02/2021,36373,
04/02/2021,40119,
05/02/2021,43805,
06/02/2021,44957,
07/02/2021,44957,
08/02/2021,46507,
09/02/2021,46899,
10/02/2021,48314,209.0
11/02/2021,49886,556.0
12/02/2021,53701,961.0
13/02/2021,53964,2189.0
14/02/2021,53964,2189.0
15/02/2021,56359,3246.0
16/02/2021,58628,5694.0
17/02/2021,61218,9134.0
18/02/2021,64106,11468.0
19/02/2021,66130,13763.0
20/02/2021,66130,13763.0
21/02/2021,66130,13763.0
22/02/2021,66130,16194.0
23/02/2021,66130,18711.0
24/02/2021,66130,21178.0
25/02/2021,66134,23791.0
26/02/2021,66222,26805.0
27/02/2021,66222,26805.0
28/02/2021,66222,26805.0
01/03/2021,68208,27407.0
02/03/2021,71922,28234.0
03/03/2021,76012,28654.0
04/03/2021,81119,29186.0
05/03/2021,84352,30685.0
06/03/2021,86869,30868.0
07/03/2021,86869,30868.0
08/03/2021,89810,32462.0
09/03/2021,92608,35686.0
10/03/2021,95892,37507.0
11/03/2021,99005,39158.0
12/03/2021,102219,41758.0
13/03/2021,102226,41761.0
14/03/2021,102226,41761.0
15/03/2021,106021,44889.0
16/03/2021,110314,47223.0
17/03/2021,114711,47484.0
18/03/2021,119186,47645.0
19/03/2021,123398,47773.0
20/03/2021,123433,47781.0
21/03/2021,123433,47781.0
22/03/2021,128092,47828.0
23/03/2021,132621,47872.0
24/03/2021,142407,47922.0
25/03/2021,155734,47980.0
26/03/2021,168272,48062.0
27/03/2021,179841,48126.0
28/03/2021,190920,48146.0
29/03/2021,204701,48558.0
30/03/2021,219326,48778.0
31/03/2021,221407,51821.0
01/04/2021,230227,55316.0
02/04/2021,230271,55324.0
03/04/2021,237345,55551.0
04/04/2021,237619,55651.0
05/04/2021,238533,59257.0
06/04/2021,239524,62852.0
07/04/2021,239665,66314.0
08/04/2021,239818,69923.0
09/04/2021,240015,73673.0
10/04/2021,240027,73693.0
11/04/2021,240027,73693.0
12/04/2021,248172,77788.0
13/04/2021,248935,82324.0
14/04/2021,249437,90464.0
15/04/2021,250216,98877.0
16/04/2021,250126,107334.0
17/04/2021,272011,109464.0
18/04/2021,272204,109586.0
19/04/2021,273198,125795.0
20/04/2021,274362,141890.0
21/04/2021,274478,141956.0
22/04/2021,275745,156803.0
23/04/2021,276267,167574.0
24/04/2021,284090,172953.0
25/04/2021,291467,174783.0
26/04/2021,300767,180163.0
27/04/2021,309579,182818.0
28/04/2021,310452,186251.0
29/04/2021,310779,187730.0
30/04/2021,311082,190851.0
01/05/2021,311091,190857.0
02/05/2021,311091,190857.0
03/05/2021,326957,193223.0
04/05/2021,344592,195502.0
05/05/2021,363713,197809.0
06/05/2021,369141,200017.0
07/05/2021,374342,202075.0
08/05/2021,380522,202122.0
09/05/2021,381258,202149.0
10/05/2021,386937,202338.0
11/05/2021,391703,202997.0
12/05/2021,396277,203768.0
13/05/2021,402176,204181.0
14/05/2021,409246,204511.0
15/05/2021,405486,204140.0
16/05/2021,405486,204140.0
17/05/2021,413221,204615.0
18/05/2021,424570,205141.0
19/05/2021,437183,205212.0
20/05/2021,452997,205376.0
21/05/2021,464477,205591.0
22/05/2021,464481,205591.0
23/05/2021,464481,205591.0
24/05/2021,472693,205706.0
25/05/2021,478008,205830.0
26/05/2021,478898,206205.0
27/05/2021,479902,208187.0
28/05/2021,481019,210873.0
29/05/2021,481029,210898.0
30/05/2021,481029,210898.0
31/05/2021,491238,215237.0
01/06/2021,500495,220329.0
02/06/2021,512226,224784.0
03/06/2021,512160,224861.0
04/06/2021,512160,224862.0
05/06/2021,526288,225374.0
06/06/2021,526288,225374.0
07/06/2021,536515,228819.0
08/06/2021,549412,230355.0
09/06/2021,561958,231522.0
10/06/2021,571958,231522.0
11/06/2021,581958,231522.0
12/06/2021,591958,231522.0
13/06/2021,601958,231522.0
14/06/2021,611958,231522.0
15/06/2021,621958,231522.0
16/06/2021,631958,231522.0
17/06/2021,651958,231522.0
18/06/2021,661958,231522.0
19/06/2021,681958,231522.0
20/06/2021,695294,234901.0
21/06/2021,713261,235943.0
23/06/2021,725892,238353.0
24/06/2021,727463,238865.0
25/06/2021,742239,239656.0
26/06/2021,762765,239687.0
27/06/2021,762765,239687.0
28/06/2021,764467,239950.0
29/06/2021,765169,240523.0
30/06/2021,765499,240963.0
01/07/2021,785499,240963.0
02/07/2021,805499,240963.0
03/07/2021,814404,241293.0
04/07/2021,823399,254506.0
05/07/2021,833399,254506.0
06/07/2021,850032,265595.0
07/07/2021,854102,282932.0
08/07/2021,854522,283428.0
09/07/2021,854522,283428.0
10/07/2021,884126,290319.0
11/07/2021,884126,290319.0
12/07/2021,888957,301911.0
13/07/2021,888957,301911.0
14/07/2021,888957,301911.0
15/07/2021,889113,309212.0
16/07/2021,889113,309212.0
17/07/2021,927013,325150.0
18/07/2021,927013,325150.0
19/07/2021,927013,325150.0
20/07/2021,928017,334816.0
21/07/2021,928045,352398.0
22/07/2021,937273,361226.0
23/07/2021,953546,361350.0
24/07/2021,961421,361363.0
25/07/2021,969985,378092.0
26/07/2021,969985,378092.0
27/07/2021,970091,397025.0
28/07/2021,970190,415967.0
29/07/2021,977868,420273.0
30/07/2021,985997,425306.0
31/07/2021,992328,425351.0
