data,frase
9/3/20,"Está superdimensionado o poder destruidor desse vírus."
20/3/20,"Gripezinha!"
26/3/20,"Brasileiro pula em esgoto e não acontece nada."
20/4/20,"Eu não sou coveiro."
28/4/20,"E daí, lamento. Quer que eu faça o que?"
2/6/20,"A gente lamenta todos os mortos, mas é o destino de todo mundo."
10/10/20,"País de maricas."
17/12/20,"Se tomar vacina e virar jacaré não tenho nada a ver com isso."
22/1/21,"Não há nada comprovado cientificamente sobre essa vacina aí."
11/2/21,"O cara que entra na pilha da vacina é um idiota."
4/3/21,"Vai comprar vacina. Só se for na casa da sua mãe. Chega de frescura e mimimi."
17/5/21,"Tem alguns idiotas que até hoje ficam em casa."
9/6/21,"Nunca vi ninguém morrer por tomar hidroxicloroquina."
24/7/21,"Se eu estivesse coordenando a pandemia não teria morrido tanta gente."
8/9/21,"Covid apenas encurtou a vida delas por alguns dias ou algumas semanas."
24/12/21,"Não tá havendo morte de criança que justifique."
6/1/22,"Qual o interesse das pessoas taradas por vacina?"
12/1/22,"Ômicron é bem-vinda. Dizem até que seria um vírus vacinal."
22/1/22,"Lamento profundamente, mas é um número insignificante."
